Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,,Business travel,Eco,479.0,3,1,1,1,4,3,,,3,3,3,1,3,,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,,5,0,5,4,3,5,,,1,2,5,5,5,3.0,77.0,64.0,satisfied
Male,Loyal Customer,,,Business,,5,5,5,5,5,5,5.0,,1,1,2,4,4,5.0,0.0,0.0,satisfied
Female,Loyal Customer,,Business travel,Business,,2,3,3,3,3,1,2.0,2.0,2,2,2,4,2,,,30.0,neutral or dissatisfied
Female,Loyal Customer,22.0,Personal Travel,Eco,,4,5,4,2,5,4,5.0,,1,2,5,3,1,,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,,3,3,3,3,1,3,1.0,1.0,2,4,2,5,1,,,2.0,neutral or dissatisfied
Female,disloyal Customer,24.0,,Eco,,1,1,1,3,3,1,,,3,3,5,4,4,,,0.0,neutral or dissatisfied
Female,Loyal Customer,49.0,,Business,2808.0,3,3,3,3,3,3,,,5,4,5,4,5,5.0,,27.0,satisfied
Female,disloyal Customer,,Business travel,Business,,2,2,2,3,1,2,1.0,,4,2,5,3,5,1.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,30.0,Business travel,Business,2835.0,2,2,2,2,5,5,4.0,,4,3,5,5,5,,,22.0,satisfied
Female,Loyal Customer,25.0,,Eco Plus,,2,1,1,1,2,2,3.0,,3,3,3,3,3,,,19.0,neutral or dissatisfied
Male,Loyal Customer,49.0,,Business,89.0,2,2,2,2,3,4,4.0,,4,4,4,4,4,,0.0,0.0,satisfied
Male,disloyal Customer,,,Business,,3,3,3,3,2,3,2.0,,4,2,5,3,5,2.0,,13.0,neutral or dissatisfied
Male,Loyal Customer,41.0,,Business,,2,5,5,5,5,3,3.0,,2,2,2,2,2,,,27.0,neutral or dissatisfied
Male,Loyal Customer,44.0,,Eco,109.0,3,1,4,1,3,3,,,3,1,2,3,1,,,0.0,satisfied
Female,Loyal Customer,74.0,Business travel,Business,1968.0,5,5,5,5,5,5,4.0,,5,5,5,3,5,5.0,0.0,0.0,satisfied
Female,Loyal Customer,,,Eco,502.0,4,5,5,5,2,5,2.0,,3,2,4,3,4,,,0.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,1514.0,3,5,3,1,4,3,4.0,,5,3,3,4,4,4.0,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,14.0,,Business,,5,0,5,1,5,5,5.0,,4,2,4,5,5,5.0,,0.0,satisfied
Male,Loyal Customer,72.0,Business travel,Business,,2,3,3,3,1,3,,,2,2,2,1,2,1.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Business,3826.0,4,4,4,4,2,4,,,2,2,2,5,2,,6.0,1.0,satisfied
Female,Loyal Customer,43.0,,Eco,,4,4,4,4,3,3,3.0,,4,4,4,1,4,3.0,0.0,15.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,2,3,2,4,3,2,,,4,2,4,2,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,47.0,Business travel,Business,488.0,2,4,4,4,2,3,3.0,,2,2,2,2,2,2.0,17.0,4.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,5,5,5,5,2,2,2.0,2.0,3,3,2,2,4,,,0.0,satisfied
Female,Loyal Customer,,,Eco,,3,4,4,5,5,4,,,5,3,4,3,5,,,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco,,5,4,5,1,5,4,,,3,4,4,3,5,,0.0,0.0,satisfied
Male,Loyal Customer,52.0,,Business,,5,5,5,5,5,4,,,3,3,3,3,3,,21.0,16.0,satisfied
Female,disloyal Customer,,Business travel,Eco,192.0,2,1,2,3,2,2,2.0,2.0,3,1,4,2,3,,,0.0,neutral or dissatisfied
Female,Loyal Customer,56.0,Personal Travel,Eco,2496.0,3,5,2,2,2,4,,3.0,3,2,3,2,3,,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,,2,1,2,2,4,2,,,4,5,3,2,3,,,4.0,neutral or dissatisfied
Female,Loyal Customer,50.0,,Eco Plus,,3,3,1,3,3,3,,,3,3,3,2,3,,,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,2,1,1,1,5,3,,2.0,2,2,2,2,2,,47.0,38.0,neutral or dissatisfied
Female,Loyal Customer,60.0,Business travel,Business,,3,3,3,3,2,4,4.0,,5,5,5,3,5,,0.0,0.0,satisfied
Female,Loyal Customer,,,Business,,5,5,5,5,5,5,5.0,2.0,2,2,2,4,2,4.0,,0.0,satisfied
Male,Loyal Customer,54.0,,Eco,305.0,4,1,1,1,4,4,4.0,,5,4,2,2,4,,0.0,0.0,satisfied
Female,Loyal Customer,43.0,,Eco,,3,5,3,1,4,4,,1.0,1,3,1,5,1,5.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco Plus,2565.0,2,3,3,3,2,3,2.0,,2,5,2,3,3,,108.0,99.0,neutral or dissatisfied
Female,Loyal Customer,26.0,,Eco,,1,4,1,3,5,1,5.0,,5,2,4,3,5,5.0,,3.0,neutral or dissatisfied
Male,Loyal Customer,29.0,Business travel,Business,,4,4,4,4,4,4,4.0,,4,4,4,5,5,4.0,,0.0,satisfied
Female,Loyal Customer,49.0,Business travel,Eco,,4,1,1,1,5,2,,,4,4,4,2,4,,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,20.0,,Eco,223.0,3,0,3,1,5,3,,,3,4,4,4,5,,3.0,0.0,neutral or dissatisfied
Male,Loyal Customer,40.0,,Eco,,1,4,2,3,4,2,1.0,,4,3,4,2,4,4.0,,59.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,4,4,4,4,2,4,5.0,,5,5,5,4,5,,,0.0,satisfied
Male,Loyal Customer,,,Business,493.0,1,1,1,1,4,5,1.0,,5,5,5,2,5,5.0,,0.0,satisfied
Male,Loyal Customer,44.0,Personal Travel,Eco,,4,5,0,1,2,0,,,5,4,2,4,1,2.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,29.0,Business travel,Eco,,4,3,3,3,4,4,,,1,3,4,5,2,,,0.0,satisfied
Male,Loyal Customer,,Personal Travel,Eco,349.0,1,4,4,2,1,4,1.0,,5,3,2,5,4,1.0,32.0,30.0,neutral or dissatisfied
Female,Loyal Customer,20.0,Business travel,Business,,3,2,2,2,3,2,3.0,,2,1,4,2,4,,,33.0,neutral or dissatisfied
Female,Loyal Customer,46.0,Business travel,Business,,5,5,5,5,3,5,5.0,,5,5,5,4,5,,,0.0,satisfied
Male,disloyal Customer,,Business travel,Eco,,2,2,1,3,5,1,5.0,,2,3,4,4,3,,39.0,41.0,neutral or dissatisfied
Female,Loyal Customer,49.0,,Eco,,1,1,1,2,4,2,,,1,1,1,3,1,3.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,1,4,1,2,2,1,,,3,4,4,4,4,2.0,10.0,36.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,4,4,4,4,4,2,3.0,,4,4,4,2,4,1.0,,0.0,satisfied
Female,Loyal Customer,,,Eco Plus,347.0,4,1,1,1,4,4,,,3,2,2,2,2,4.0,,0.0,satisfied
Male,Loyal Customer,47.0,,Business,,2,5,5,5,1,2,,,5,3,3,2,2,,253.0,257.0,neutral or dissatisfied
Female,Loyal Customer,49.0,,Eco,,3,5,5,5,4,4,,,3,3,3,4,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,40.0,,Eco Plus,,3,5,3,4,4,3,4.0,,3,5,4,3,4,4.0,,39.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,1399.0,3,4,4,4,1,3,,,3,3,3,4,3,,,8.0,neutral or dissatisfied
Male,Loyal Customer,40.0,Personal Travel,Eco Plus,,2,5,2,4,4,2,4.0,,3,2,5,5,4,4.0,,5.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,,5,5,5,5,2,2,,,4,4,5,2,4,,,11.0,satisfied
Female,Loyal Customer,50.0,Business travel,Business,,2,2,2,2,4,4,,,5,5,5,5,5,,0.0,0.0,satisfied
Male,Loyal Customer,16.0,Personal Travel,Eco,,1,2,1,4,1,1,,,2,2,4,3,4,1.0,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,24.0,Business travel,Eco,,3,1,3,4,1,3,1.0,1.0,2,4,3,2,4,,,3.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco,,2,5,2,5,2,2,,,4,1,2,3,3,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,60.0,,Business,,1,1,1,1,2,5,,,4,4,4,3,4,,6.0,0.0,satisfied
Male,Loyal Customer,60.0,Business travel,Business,102.0,1,1,5,1,2,5,5.0,,5,5,5,4,5,,,0.0,satisfied
Female,disloyal Customer,20.0,Business travel,Business,,5,0,5,3,1,5,,,3,4,3,5,4,,,9.0,satisfied
Male,Loyal Customer,26.0,,Business,2040.0,4,4,5,4,4,4,4.0,,5,5,5,4,2,,,94.0,satisfied
Male,Loyal Customer,,,Eco,,2,2,2,3,5,2,,,2,2,3,2,3,5.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco,,1,4,1,3,2,1,2.0,2.0,5,4,5,3,5,,,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Eco,,1,3,1,3,1,2,4.0,,3,1,3,1,3,,7.0,14.0,neutral or dissatisfied
Female,Loyal Customer,39.0,Business travel,Eco Plus,,2,1,1,1,2,2,2.0,,2,2,3,1,4,,,0.0,neutral or dissatisfied
Female,Loyal Customer,56.0,Personal Travel,Eco,,2,4,2,3,2,5,,,5,4,1,5,3,,,3.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,3,3,3,2,5,3,5.0,,1,5,2,5,4,,26.0,22.0,neutral or dissatisfied
Female,Loyal Customer,67.0,,Eco,1919.0,1,5,0,2,4,5,,,1,0,1,5,1,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,4,1,1,1,4,4,,,4,2,3,3,2,4.0,,83.0,neutral or dissatisfied
Male,Loyal Customer,52.0,Business travel,Business,,1,1,1,1,4,4,4.0,,3,3,3,5,3,5.0,,7.0,satisfied
Male,Loyal Customer,44.0,Business travel,Business,,4,4,4,4,3,4,5.0,4.0,4,4,4,3,4,5.0,0.0,11.0,satisfied
Female,Loyal Customer,70.0,Business travel,Business,3598.0,3,3,5,3,3,5,,3.0,3,3,3,4,3,,,0.0,satisfied
Female,Loyal Customer,59.0,,Business,1572.0,3,3,3,3,2,4,,,3,3,3,2,3,,,3.0,neutral or dissatisfied
Female,Loyal Customer,56.0,Business travel,Business,,3,4,4,4,4,2,3.0,3.0,3,3,3,4,3,,,5.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,,3,3,3,3,4,4,4.0,,4,4,5,5,4,,,0.0,satisfied
Female,Loyal Customer,54.0,Personal Travel,Eco,,1,3,1,4,3,4,,,5,1,5,1,5,,18.0,1.0,neutral or dissatisfied
Male,Loyal Customer,56.0,Business travel,Business,1621.0,4,4,4,4,4,5,,,4,5,4,4,4,,,0.0,satisfied
Female,Loyal Customer,57.0,Business travel,Eco,140.0,4,3,3,3,5,1,,,4,4,4,2,4,4.0,,0.0,satisfied
Female,disloyal Customer,39.0,,Business,,3,3,3,2,3,3,,,5,4,5,1,5,,0.0,15.0,neutral or dissatisfied
Female,Loyal Customer,19.0,Personal Travel,Eco,,2,2,1,3,1,1,,,3,5,3,2,3,,,0.0,neutral or dissatisfied
Female,Loyal Customer,33.0,,Eco Plus,,0,4,0,3,1,0,1.0,,3,5,4,5,4,,,0.0,satisfied
Female,Loyal Customer,36.0,Business travel,Eco,,3,4,4,4,3,3,,,4,2,3,2,2,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,66.0,Personal Travel,Eco,,1,4,1,3,3,5,,,4,1,4,4,4,5.0,41.0,53.0,neutral or dissatisfied
Female,Loyal Customer,60.0,Personal Travel,Eco Plus,,2,5,2,1,4,5,4.0,,3,2,3,3,3,4.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,64.0,,Eco,646.0,3,4,3,2,3,3,3.0,,3,5,1,1,2,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,15.0,,Eco,,3,4,2,4,2,2,2.0,,5,2,3,4,4,,,22.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,1598.0,4,4,4,4,3,2,4.0,5.0,5,5,5,1,5,,2.0,0.0,satisfied
Female,disloyal Customer,,Business travel,Eco,414.0,2,0,2,5,1,2,,1.0,5,4,4,3,5,,9.0,0.0,neutral or dissatisfied
Female,disloyal Customer,23.0,,Eco,143.0,5,3,5,3,4,5,,,5,3,3,5,3,4.0,0.0,0.0,satisfied
Male,disloyal Customer,52.0,,Eco,,3,4,2,4,2,2,,,2,5,4,4,3,2.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,50.0,,Business,,1,4,4,4,3,2,,,1,1,1,4,1,1.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,58.0,Business travel,Business,,5,5,5,5,4,5,,,5,5,5,3,5,3.0,,6.0,satisfied
Male,Loyal Customer,39.0,Business travel,Business,937.0,2,5,5,5,2,3,,,2,2,2,3,2,4.0,,117.0,neutral or dissatisfied
Female,Loyal Customer,38.0,,Business,,3,3,3,3,3,3,4.0,,3,3,3,4,3,,,19.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,4,4,4,4,4,5,,,5,5,4,5,5,,,0.0,satisfied
Male,Loyal Customer,,Personal Travel,Eco,416.0,4,1,4,3,3,4,3.0,3.0,4,2,3,2,3,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Eco Plus,,1,2,2,2,1,1,,,2,4,3,2,3,,51.0,30.0,neutral or dissatisfied
Female,Loyal Customer,25.0,,Eco Plus,,5,5,3,5,5,5,4.0,,5,5,1,5,5,5.0,0.0,0.0,satisfied
Female,Loyal Customer,23.0,,Business,763.0,3,4,1,4,3,3,,,1,2,3,1,4,3.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco,,3,5,5,5,3,3,,,5,5,2,2,2,,11.0,0.0,satisfied
Male,Loyal Customer,43.0,Business travel,Business,,2,2,2,2,4,5,,,4,4,4,2,4,,0.0,0.0,satisfied
Male,Loyal Customer,35.0,,Eco,,4,2,3,3,4,4,,,5,4,3,5,5,,0.0,0.0,satisfied
Female,Loyal Customer,57.0,,Eco,987.0,4,4,4,4,2,2,5.0,,4,4,4,4,4,5.0,0.0,0.0,satisfied
Male,disloyal Customer,39.0,Business travel,Business,2583.0,4,5,5,4,5,5,,,2,4,5,5,3,5.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,8.0,Personal Travel,Eco,,2,4,2,4,5,2,5.0,5.0,1,4,3,1,3,,,8.0,neutral or dissatisfied
Male,Loyal Customer,,,Business,3869.0,2,2,5,2,3,4,,,5,5,5,5,5,3.0,,0.0,satisfied
Female,disloyal Customer,,,Eco,,2,2,2,3,3,2,,,1,1,5,2,3,3.0,,2.0,neutral or dissatisfied
Male,Loyal Customer,23.0,,Eco,,1,4,1,1,4,1,,,5,3,4,3,5,4.0,23.0,14.0,neutral or dissatisfied
Male,disloyal Customer,20.0,Business travel,Eco,,1,1,1,4,4,1,,,3,4,3,3,4,4.0,24.0,14.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco,,3,2,2,2,3,3,,,4,5,3,3,3,,,0.0,neutral or dissatisfied
Female,Loyal Customer,57.0,Business travel,Eco,,4,3,3,3,5,5,,4.0,4,4,4,2,4,,,0.0,satisfied
Male,Loyal Customer,,Business travel,Business,,1,1,1,1,5,5,4.0,,4,4,4,4,4,4.0,15.0,0.0,satisfied
Female,Loyal Customer,46.0,Personal Travel,Eco,,1,4,1,1,2,4,5.0,,3,1,3,3,3,,0.0,2.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,4,4,4,4,3,3,5.0,,3,2,3,4,3,5.0,,0.0,satisfied
Female,Loyal Customer,54.0,,Eco,,1,2,1,3,3,4,4.0,,5,1,5,3,5,,,3.0,neutral or dissatisfied
Female,Loyal Customer,27.0,,Business,,5,2,5,5,5,5,,,3,3,4,5,4,,,20.0,satisfied
Male,Loyal Customer,57.0,,Eco,641.0,3,5,3,2,2,3,2.0,,3,5,4,3,4,,,1.0,neutral or dissatisfied
Female,disloyal Customer,34.0,,Business,,4,4,4,3,1,4,,,5,5,5,4,5,,13.0,21.0,neutral or dissatisfied
Female,Loyal Customer,51.0,,Business,,4,4,4,4,4,5,4.0,,5,5,5,3,5,,33.0,35.0,satisfied
Male,disloyal Customer,43.0,,Eco,,4,3,4,3,2,4,2.0,,3,5,3,4,4,,,6.0,neutral or dissatisfied
Male,disloyal Customer,21.0,,Eco,594.0,1,1,1,3,2,1,2.0,,3,2,3,2,3,2.0,1.0,1.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,,4,4,4,4,4,4,5.0,,5,5,5,3,5,4.0,0.0,0.0,satisfied
Female,Loyal Customer,54.0,,Business,,1,1,1,1,5,4,,4.0,4,4,4,4,4,3.0,,2.0,satisfied
Male,Loyal Customer,60.0,,Business,,1,1,1,1,4,4,4.0,,4,4,4,4,4,,,0.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,,3,3,1,4,2,1,2.0,,2,1,4,2,2,,0.0,3.0,neutral or dissatisfied
Female,disloyal Customer,55.0,Business travel,Eco,,2,4,2,1,5,2,,,4,2,4,4,3,,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,5,0,5,2,2,5,,,4,2,5,5,4,2.0,,0.0,satisfied
Male,Loyal Customer,,Business travel,Business,,2,2,2,2,5,4,5.0,,2,1,1,2,4,,88.0,75.0,satisfied
Male,Loyal Customer,38.0,,Eco,323.0,1,2,1,3,4,1,1.0,,4,2,4,2,4,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,59.0,,Eco,,5,3,3,3,5,5,,,2,2,2,4,3,,1.0,5.0,satisfied
Male,Loyal Customer,,Business travel,Business,,2,1,1,1,5,4,,,2,2,2,1,2,3.0,,0.0,neutral or dissatisfied
Female,disloyal Customer,,Business travel,Business,,5,0,5,3,3,5,,,5,2,4,3,5,,41.0,65.0,satisfied
Female,Loyal Customer,43.0,Personal Travel,Eco,,1,4,1,3,3,5,,,4,1,4,5,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,24.0,Business travel,Business,,3,3,3,3,4,4,4.0,,4,5,3,2,5,,,15.0,satisfied
Female,Loyal Customer,47.0,,Business,,5,5,5,5,4,2,,,4,4,4,5,4,,88.0,85.0,satisfied
Female,Loyal Customer,30.0,,Business,,2,2,2,2,4,4,4.0,,1,2,3,5,5,4.0,,1.0,satisfied
Male,Loyal Customer,60.0,Business travel,Business,,3,3,3,3,5,4,5.0,,3,4,3,3,3,,,0.0,satisfied
Male,Loyal Customer,39.0,Personal Travel,Eco Plus,,3,1,4,3,2,4,2.0,,1,1,4,1,4,,,15.0,neutral or dissatisfied
Female,Loyal Customer,57.0,Business travel,Business,,4,4,4,4,4,4,5.0,,5,4,5,4,5,,2.0,0.0,satisfied
Female,Loyal Customer,13.0,,Eco,,2,3,2,2,1,2,,,5,2,1,2,5,,,4.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,3,1,3,3,2,3,,2.0,2,2,4,2,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,44.0,,Eco,,2,5,2,3,1,3,4.0,,1,2,1,2,1,3.0,,11.0,neutral or dissatisfied
Female,Loyal Customer,9.0,Personal Travel,Eco,1587.0,3,4,3,2,2,3,2.0,,3,2,4,4,4,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,66.0,,Eco,,1,2,1,4,4,1,4.0,4.0,1,2,4,2,3,,,62.0,neutral or dissatisfied
Male,Loyal Customer,37.0,,Business,2924.0,5,5,3,5,3,5,5.0,,4,4,4,5,4,5.0,,0.0,satisfied
Female,Loyal Customer,7.0,Personal Travel,Eco,,3,4,3,1,3,3,3.0,,5,1,2,3,4,3.0,,0.0,neutral or dissatisfied
Female,disloyal Customer,20.0,Business travel,Eco,,2,3,2,4,5,2,5.0,,3,3,4,1,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,37.0,Business travel,Eco,,5,2,2,2,5,5,5.0,,2,4,1,4,4,,5.0,14.0,satisfied
Male,Loyal Customer,47.0,,Eco,,4,2,4,2,4,4,,,5,4,4,1,5,,7.0,0.0,satisfied
Male,Loyal Customer,50.0,Business travel,Business,,3,5,5,5,2,4,,3.0,3,3,3,3,3,2.0,,6.0,neutral or dissatisfied
Male,disloyal Customer,,,Eco Plus,,4,2,4,4,2,4,,,4,5,3,3,4,2.0,21.0,10.0,neutral or dissatisfied
Male,Loyal Customer,24.0,Business travel,Business,,3,3,3,3,3,3,3.0,,3,1,3,3,3,3.0,18.0,19.0,neutral or dissatisfied
Female,Loyal Customer,53.0,Business travel,Business,,2,2,2,2,5,4,,,5,5,5,5,5,,0.0,0.0,satisfied
Male,Loyal Customer,38.0,Business travel,Eco,,5,1,1,1,5,5,5.0,,2,1,1,3,1,5.0,,0.0,satisfied
Female,Loyal Customer,19.0,,Business,,1,1,1,1,5,5,5.0,,2,1,4,3,2,5.0,0.0,0.0,satisfied
Male,Loyal Customer,,Business travel,Business,,3,1,3,3,5,5,,,3,1,4,2,3,,,0.0,satisfied
Male,Loyal Customer,61.0,Personal Travel,Eco,,2,4,3,4,5,3,5.0,,5,3,5,5,5,,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,26.0,,Eco,789.0,1,0,0,5,2,0,2.0,,5,5,1,5,2,2.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,44.0,Business travel,Business,,5,5,5,5,4,4,,,4,4,4,4,4,,13.0,24.0,satisfied
Female,disloyal Customer,25.0,Business travel,Business,896.0,2,0,2,5,1,2,,,5,5,4,3,5,,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,9.0,,Eco,843.0,4,4,4,4,2,4,2.0,,1,1,4,3,3,,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,35.0,Business travel,Business,,3,3,3,4,3,3,3.0,,5,2,4,3,4,,21.0,2.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco,,3,4,3,4,3,3,3.0,,5,4,4,3,5,,14.0,2.0,neutral or dissatisfied
Female,Loyal Customer,,,Eco,590.0,2,4,2,3,5,4,,,3,2,3,5,3,5.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,29.0,Business travel,Business,,4,4,4,4,5,5,5.0,,4,3,4,4,5,,,21.0,satisfied
Female,Loyal Customer,,Business travel,Eco,,3,3,3,3,2,3,2.0,,3,3,3,4,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,46.0,Personal Travel,Eco,,2,4,2,5,1,2,,,4,3,5,4,5,1.0,,0.0,neutral or dissatisfied
Female,disloyal Customer,43.0,Business travel,Eco,,3,3,3,4,3,3,,,4,1,1,5,1,,,0.0,neutral or dissatisfied
Male,Loyal Customer,31.0,,Eco,,2,3,2,3,1,2,,,4,1,3,1,4,1.0,,2.0,neutral or dissatisfied
Female,disloyal Customer,20.0,Business travel,Eco,,4,0,4,3,3,4,,,3,3,2,1,3,3.0,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,32.0,,Business,239.0,3,3,3,5,4,3,4.0,,4,4,4,3,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,10.0,,Business,2631.0,5,5,5,5,5,5,,5.0,1,3,3,2,1,5.0,,0.0,satisfied
